CIK;LatestCompanyName;NameChanged;NameVariants;AllNames
0000020232;ChyronHego Corp;TRUE;2;CHYRON CORP | ChyronHego Corp
0000020286;CINCINNATI FINANCIAL CORP;FALSE;1;CINCINNATI FINANCIAL CORP
0000020290;Duke Energy Ohio, Inc.;FALSE;1;Duke Energy Ohio, Inc.
0000020520;Frontier Communications Parent, Inc.;TRUE;2;FRONTIER COMMUNICATIONS CORP | Frontier Communications Parent, Inc.
0000020629;CSS INDUSTRIES INC;FALSE;1;CSS INDUSTRIES INC
0000020639;AmBase Corp;TRUE;2;AMBASE CORP | AmBase Corp
0000020740;CLARCOR INC.;TRUE;2;CLARCOR INC | CLARCOR INC.
0000020947;CLEVELAND ELECTRIC ILLUMINATING CO;FALSE;1;CLEVELAND ELECTRIC ILLUMINATING CO
0000021076;CLOROX CO /DE/;FALSE;1;CLOROX CO /DE/
0000021175;CNA FINANCIAL CORP;FALSE;1;CNA FINANCIAL CORP
0000021212;COACHMEN INDUSTRIES INC;FALSE;1;COACHMEN INDUSTRIES INC
0000021239;COASTAL CARIBBEAN OILS & MINERALS LTD;FALSE;1;COASTAL CARIBBEAN OILS & MINERALS LTD
0000021344;COCA COLA CO;FALSE;1;COCA COLA CO
0000021510;COHERENT INC;FALSE;1;COHERENT INC
0000021535;COHU INC;FALSE;1;COHU INC
0000021665;COLGATE PALMOLIVE CO;FALSE;1;COLGATE PALMOLIVE CO
0000021828;CCOM Group, Inc.;TRUE;2;CCOM Group, Inc. | COLONIAL COMMERCIAL CORP
0000022198;COLUMBUS SOUTHERN POWER CO /OH/;FALSE;1;COLUMBUS SOUTHERN POWER CO /OH/
0000022252;COMARCO INC;FALSE;1;COMARCO INC
0000022356;COMMERCE BANCSHARES INC /MO/;FALSE;1;COMMERCE BANCSHARES INC /MO/
0000022444;COMMERCIAL METALS Co;TRUE;2;COMMERCIAL METALS CO | COMMERCIAL METALS Co
0000022551;TRI VALLEY CORP;FALSE;1;TRI VALLEY CORP
0000022606;COMMONWEALTH EDISON Co;TRUE;2;COMMONWEALTH EDISON CO | COMMONWEALTH EDISON Co
0000022701;Pineapple Energy Inc.;TRUE;2;COMMUNICATIONS SYSTEMS INC | Pineapple Energy Inc.
0000022767;TEXAS NEW MEXICO POWER CO;FALSE;1;TEXAS NEW MEXICO POWER CO
0000022872;Advanzeon Solutions, Inc.;TRUE;2;Advanzeon Solutions, Inc. | COMPREHENSIVE CARE CORP
0000023082;COMPUTER SCIENCES CORP;FALSE;1;COMPUTER SCIENCES CORP
