Word;Seq_num;Word Count;Word Proportion;Average Proportion;Std Dev;Doc Count;Negative;Positive;Uncertainty;Litigious;Strong_Modal;Weak_Modal;Constraining;Complexity;Syllables;Source
ABODE;144;1329;5.20170638675384e-08;2.751285546270653e-08;6.507590628322642e-06;332;0;0;0;0;0;0;0;0;2;12of12inf
ABODES;145;6;2.3484001746067e-10;1.3721738851080523e-10;1.0937272636085836e-07;6;0;0;0;0;0;0;0;0;2;12of12inf
ABOLISH;146;11846;4.6365247447318275e-07;2.8890285660069944e-07;4.879263472429072e-06;9667;2009;0;0;0;0;0;0;0;3;12of12inf
ABOLISHED;147;3335;1.305319097052224e-07;9.680363160791205e-08;3.0580650422441454e-06;2635;2009;0;0;0;0;0;0;0;3;12of12inf
ABOLISHES;148;314;1.2289960913775062e-08;1.1644282309419548e-08;1.5208838379038924e-06;275;2009;0;0;0;0;0;0;0;4;12of12inf
ABOLISHING;149;661;2.587154192358381e-08;2.4552705226071188e-08;1.5973003916379863e-06;568;2009;0;0;0;0;0;0;0;4;12of12inf
ABOLISHMENT;150;528;2.0665921536538958e-08;1.8018683779855895e-08;2.8579322238370124e-06;326;0;0;0;0;0;0;0;0;0;10K_2014
ABOLITION;151;797;3.1194582319359e-08;2.2985315336612986e-08;1.403267394482492e-06;644;0;0;0;0;0;0;0;0;4;12of12inf
ABOLITIONISM;152;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;6;12of12inf
ABOLITIONISMS;153;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;6;12of12inf
ABOLITIONIST;154;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;5;12of12inf
ABOLITIONISTS;155;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;5;12of12inf
ABOLITIONS;156;3;1.17420008730335e-10;3.5242183011731585e-11;3.420039399377589e-08;2;0;0;0;0;0;0;0;0;4;12of12inf
ABOMINABLE;157;26;1.0176400756629032e-09;9.111794617625614e-10;3.968788117289394e-07;10;0;0;0;0;0;0;0;0;5;12of12inf
ABOMINABLY;158;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;5;12of12inf
ABOMINATE;159;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABOMINATED;160;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;5;12of12inf
ABOMINATES;161;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABOMINATING;162;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;5;12of12inf
ABOMINATION;163;16;6.262400465617866e-10;5.0289704108089e-10;2.0751430708715732e-07;12;0;0;0;0;0;0;0;0;5;12of12inf
ABOMINATIONS;164;1;3.914000291011166e-11;4.169582996712196e-11;4.613953986084046e-08;1;0;0;0;0;0;0;0;0;5;12of12inf
ABORIGINAL;165;4998;1.956217345447381e-07;1.4090747231249785e-07;7.994769691484603e-06;1374;0;0;0;0;0;0;0;0;5;12of12inf
ABORIGINALS;166;100;3.914000291011166e-09;5.936676044443395e-09;8.730714793350186e-07;87;0;0;0;0;0;0;0;0;5;12of12inf
