cik;name;ticker;cikmatch;delisted
0000033113;ENVIRONMENTAL TECTONICS CORP;;True;False
0000033185;EQUIFAX INC;EFX;False;False
0000033213;EQT Corp;EQT;False;False
0000033488;ESCALADE INC;ESCA;False;False
0000033533;ESPEY MFG & ELECTRONICS CORP;ESP;False;False
0000033619;ESTERLINE TECHNOLOGIES CORP;;False;True
0000033769;BOB EVANS FARMS INC;;False;True
0000033992;"KINGSTONE COMPANIES, INC.";KINS;False;False
0000034067;DMC Global Inc.;BOOM;False;False
0000034088;EXXON MOBIL CORP;XOM;False;False
0000034115;CLAIRES STORES INC;;True;False
0000034151;JO-ANN STORES INC;;False;True
0000034285;RELIABILITY INC;RLBY;True;False
0000034408;FAMILY DOLLAR STORES INC;;False;True
0000034563;FARMER BROTHERS CO;FARM;False;False
0000034782;1ST SOURCE CORP;SRCE;False;False
0000034903;FEDERAL REALTY INVESTMENT TRUST;FRT-PC;False;False
0000034956;"TENAX THERAPEUTICS, INC.";TENX;False;False
0000035214;FERRO CORP;;False;True
0000035527;FIFTH THIRD BANCORP;FITBM;False;False
0000036029;FIRST FINANCIAL BANKSHARES INC;FFIN;False;False
0000036047;"CORELOGIC, INC.";;False;True
0000036104;US BANCORP \DE\;USB-PQ;False;False
0000036146;TRUSTMARK CORP;TRMK;False;False
0000036270;M&T BANK CORP;MTB-PK;False;False
0000036369;FIRST HARTFORD CORP;;True;False
0000036377;"FIRST HAWAIIAN, INC.";FHB;False;False
0000036506;MACKINAC FINANCIAL CORP /MI/;;False;True
0000036840;FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY;FREVS;True;False
0000036966;FIRST HORIZON CORP;FHN-PF;False;False
0000037008;Winthrop Realty Liquidating Trust;;False;True
0000037049;FIRST WEST VIRGINIA BANCORP INC;;False;True
0000037472;FLEXSTEEL INDUSTRIES INC;FLXS;False;False
0000037634;FLORIDA POWER & LIGHT CO;;True;False
0000037637;"DUKE ENERGY FLORIDA, LLC.";;True;False
0000037748;MASSEY ENERGY CO;;False;True
0000037785;FMC CORP;FMC;False;False
0000037808;FNB CORP/PA/;FNB;False;False
0000037996;FORD MOTOR CO;F-PD;False;False
0000038009;FORD MOTOR CREDIT CO LLC;;True;False
0000038067;FOREST CITY ENTERPRISES INC;;True;False
0000038074;FOREST LABORATORIES INC;;False;True
0000038079;SABINE OIL & GAS CORP;;True;False
0000038264;"Forward Industries, Inc.";FWDI;False;False
0000038723;1st FRANKLIN FINANCIAL CORP;;True;False
0000038725;FRANKLIN ELECTRIC CO INC;FELE;False;False
0000038777;FRANKLIN RESOURCES INC;BEN;False;False
0000038824;FRAWLEY CORP;;True;False
0000038984;"Real Industry, Inc.";;False;True
0000039020;FREQUENCY ELECTRONICS INC;FEIM;False;False
0000039047;FRISCHS RESTAURANTS INC;;False;True
0000039092;FRIEDMAN INDUSTRIES INC;FRD;False;False
0000039263;"CULLEN/FROST BANKERS, INC.";CFR-PB;False;False
0000039273;FROZEN FOOD EXPRESS INDUSTRIES INC;;False;True
0000039311;INDEPENDENT BANK CORP /MI/;IBCP;False;False
0000039368;FULLER H B CO;FUL;False;False
0000039648;G&K SERVICES INC;;False;True
0000039677;"AV Homes, Inc.";;False;True
0000039899;TEGNA INC;TGNA;False;False
0000039911;GAP INC;GAP;False;False
0000040194;GATEWAY ENERGY CORP/NE;;True;False
0000040211;GATX CORP;GATX;False;False
0000040518;GENERAL DATACOMM INDUSTRIES INC;;True;False
0000040528;"MedClean Technologies, Inc.";;True;False
0000040533;GENERAL DYNAMICS CORP;GD;False;False
0000040545;GENERAL ELECTRIC CO;GE;False;False
0000040554;GENERAL ELECTRIC CAPITAL CORP;;True;False
0000040570;GEE Group Inc.;JOB;False;False
0000040704;GENERAL MILLS INC;GIS;False;False
0000040729;Ally Financial Inc.;ALLY;False;False
0000040730;Motors Liquidation Co;;True;False
0000040888;"AEROJET ROCKETDYNE HOLDINGS, INC.";;False;True
0000040987;GENUINE PARTS CO;GPC;False;False
0000041023;GEORESOURCES INC;;False;True
0000041091;GEORGIA POWER CO;GPJA;True;False
0000041133;GERBER SCIENTIFIC INC;;False;True
0000041719;Glatfelter Corp;MAGN;True;False
0000042136;"Chang-On International, Inc.";;True;False
0000042228;GOLDEN ENTERPRISES INC;;False;True
0000042284;WHITEMARK HOMES INC;;True;False
0000042316;GOLDFIELD CORP;;False;True
0000042542;GOODRICH CORP;;False;True
0000042582;GOODYEAR TIRE & RUBBER CO /OH/;GT;False;False
0000042682;GORMAN RUPP CO;GRC;False;False
0000042888;GRACO INC;GGG;False;False
0000043196;GRAY TELEVISION INC;GTN-A;False;False
0000043300;GREAT ATLANTIC & PACIFIC TEA CO INC;;False;True
0000043350;Gas Natural Inc.;;False;True
0000043410;GREAT NORTHERN IRON ORE PROPERTIES;;False;True
0000043920;"GREIF, INC";GEF-B;False;False
0000044545;GULF POWER CO;;True;False
0000044570;"ENTERGY GULF STATES LOUISIANA, LLC";;True;False
0000044689;GYRODYNE CO OF AMERICA INC;;True;False
0000045012;HALLIBURTON CO;HAL;False;False
0000045621;AMEXDRUG CORP;;True;False
0000045876;HARSCO CORP;NVRI;False;False
0000045919;HARTE HANKS INC;HHS;False;False
0000045947;TALCOTT RESOLUTION LIFE INSURANCE CO;;True;False
0000046080;"HASBRO, INC.";HAS;False;False
0000046129;ALLIED MOTION TECHNOLOGIES INC;ALNT;False;False
0000046195;BANK OF HAWAII CORP;BOH-PB;False;False
0000046207;HAWAIIAN ELECTRIC CO INC;;True;False
0000046250;HAWKINS INC;HWKN;False;False
0000046619;HEICO CORP;HEI-A;False;False
0000046640;HEINZ H J CO;;True;False
0000046765;"Helmerich & Payne, Inc.";HP;False;False
0000047035;HERLEY INDUSTRIES INC /NEW;;False;True
0000047111;HERSHEY CO;HSY;False;False
0000047129;HERTZ CORP;;True;False
0000047217;HP INC;HPQ;False;False
0000047307;CRAWFORD UNITED Corp;CRAWA;True;False
0000047518;"Hill-Rom Holdings, Inc.";;False;True
0000048039;HollyFrontier Corp;;True;False
0000048287;HNI CORP;HNI;False;False
0000048465;HORMEL FOODS CORP /DE/;HRL;False;False
0000048732;CENTERPOINT ENERGY HOUSTON ELECTRIC LLC;;True;False
0000048898;HUBBELL INC;HUBB;False;True
0000049071;HUMANA INC;HUM;False;False
0000049196;HUNTINGTON BANCSHARES INC /MD/;HBANL;False;False
0000049534;LIFE PARTNERS HOLDINGS INC;;False;True
0000049600;EASTGROUP PROPERTIES INC;EGP;False;False
0000049615;ID SYSTEMS INC;;True;False
0000049648;IDAHO POWER CO;;True;False
0000049728;IEC ELECTRONICS CORP;;False;True
0000049754;"Dine Brands Global, Inc.";DIN;False;False
0000049816;ILLINOIS POWER CO;;True;False
0000049826;ILLINOIS TOOL WORKS INC;ITW;False;False
0000049930;IMPERIAL INDUSTRIES INC;;False;True
0000049938;IMPERIAL OIL LTD;IMO;False;False
0000050104;ANDEAVOR;;False;True
0000050172;INDIANA MICHIGAN POWER CO;;True;False
0000050292;IEH Corp;IEHC;True;False
0000050471;PARK CITY GROUP INC;TRAK;False;False
0000050493;INGLES MARKETS INC;IMKTA;False;False
0000050710;"JAVELIN PHARMACEUTICALS, INC";;False;True
0000050725;GRIFFON CORP;GFF;False;False
0000050863;INTEL CORP;INTC;False;False
0000050957;FURNITURE BRANDS INTERNATIONAL INC;;False;True
0000051011;INTERDYNE CO;;True;False
0000051143;INTERNATIONAL BUSINESS MACHINES CORP;IBM;False;False
0000051253;INTERNATIONAL FLAVORS & FRAGRANCES INC;IFF;False;False
0000051434;INTERNATIONAL PAPER CO /NEW/;INPAP;False;False
0000051548;INTERNATIONAL SPEEDWAY CORP;;False;True
0000051644;"INTERPUBLIC GROUP OF COMPANIES, INC.";;False;False
0000052428;AMERIPRISE CERTIFICATE CO;;True;False
0000052485;INTERSTATE POWER & LIGHT CO;;True;False
0000052795;ANIXTER INTERNATIONAL INC;;False;True
0000052827;RAYONIER INC;RYN;False;False
0000052988;JACOBS SOLUTIONS INC.;J;False;False
0000053320;STRATEGIC INTERNET INVESTMENTS INC;;True;False
0000053456;JERSEY CENTRAL POWER & LIGHT CO;;True;False
0000053500;"NEW BASTION DEVELOPMENT, INC.";;True;False
0000053540;JILCO INDUSTRIES INC;;True;False
0000053669;JOHNSON CONTROLS INC;;True;False
0000054187;MAYS J W INC;MAYS;False;False
0000054381;KAMAN Corp;;False;False
0000054424;X-CHANGE CORP;;True;False
0000054441;FURMANITE CORP;;False;True
0000054473;KANSAS CITY LIFE INSURANCE CO;;False;True
0000054476;"EVERGY METRO, INC.";;True;False
0000054480;KANSAS CITY SOUTHERN;;False;True
0000054502;"KINDER MORGAN, INC.";;True;False
0000054507;"EVERGY KANSAS CENTRAL, INC.";;True;False
0000054681;KATY INDUSTRIES INC;;True;False
0000054991;KEITHLEY INSTRUMENTS INC;;False;True
0000055067;KELLOGG CO;;False;False
0000055135;KELLY SERVICES INC;KELYB;False;False
0000055234;KENILWORTH SYSTEMS CORP;GAMG;True;False
0000055242;KENNAMETAL INC;KMT;False;False
0000055362;Investors Heritage Capital Corp;;True;False
0000055387;KENTUCKY UTILITIES CO;;True;False
0000055529;KEWAUNEE SCIENTIFIC CORP /DE/;KEQU;False;False
0000055604;KEYSTONE CONSOLIDATED INDUSTRIES INC;;True;False
0000055772;KIMBALL INTERNATIONAL INC;;False;True
0000055785;KIMBERLY CLARK CORP;KMB;False;False
0000055805;NORTH AMERICAN GALVANIZING & COATINGS INC;;False;True
0000056047;KIRBY CORP;KEX;False;False
0000056679;KORN FERRY;KFY;False;False
0000056701;KOSS CORP;KOSS;False;False
0000056868;PRIMEENERGY RESOURCES CORP;PNRG;False;False
0000056873;KROGER CO;KR;False;False
0000056978;KULICKE & SOFFA INDUSTRIES INC;KLIC;False;False
0000057055;KV PHARMACEUTICAL CO /DE/;;False;True
0000057131;LA-Z-BOY INC;LZB;False;False
0000057139;LABARGE INC;;False;True
0000057183;SPIRE MISSOURI INC;;True;False
0000057515;LANCASTER COLONY CORP;MZTI;False;False
0000057528;"SNYDER'S-LANCE, INC.";;False;True
0000057725;LANNETT CO INC;;False;True
0000058361;"LEE ENTERPRISES, Inc";LEE;False;False
0000058492;LEGGETT & PLATT INC;LEG;False;False
0000058592;4Licensing Corp;;False;True
0000058822;LESCARDEN INC;;True;False
0000059255;VALHI INC /DE/;VHI;False;False
0000059440;VECTOR GROUP LTD;;False;False
0000059478;ELI LILLY & Co;LLY;False;False
0000059527;LINCOLN ELECTRIC HOLDINGS INC;LECO;False;False
0000059558;LINCOLN NATIONAL CORP;LNC-PD;False;False
0000059860;GOLDRICH MINING CO;;True;False
0000060086;LOEWS CORP;L;False;False
0000060519;LOUISIANA-PACIFIC CORP;LPX;False;False
0000060549;LOUISVILLE GAS & ELECTRIC CO /KY/;;True;False
0000060667;LOWES COMPANIES INC;LOW;False;False
0000060714;"LSB INDUSTRIES, INC.";LXU;False;False
0000060751;LUBRIZOL Corp;;False;True
0000060849;LUFKIN INDUSTRIES INC;;False;True
0000060876;CYBEX INTERNATIONAL INC;;False;True
0000060977;LYDALL INC /DE/;;False;True
0000061004;LGL GROUP INC;LGL;False;False
0000061339;MADISON GAS & ELECTRIC CO;;True;False
0000061398;TELLURIAN INC. /DE/;;False;False
0000061478;ADC TELECOMMUNICATIONS INC;;False;True
